ensembl_gene_id	external_gene_name	Fem7_Exe_shelf	Fem8_Exe_shelf	Fem9_Exe_shelf	Fem7_Exe_HVC	Fem8_Exe_HVC	Fem9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000725		319	431	310	341	499	240	354.04361344936405	0.077453521156425	0.28265022917095756	0.2740260334605219	0.7840646153074096	0.9998207068924773
ENSTGUG00000000726	GRIA1	2561	2827	3230	1960	3157	2859	2734.160027281023	-0.08202567587254604	0.168171926403312	-0.487748922348853	0.6257276945680579	0.9998207068924773
ENSTGUG00000000727	PTPRN2	2566	3307	2907	2395	3261	2976	2872.831767826758	0.016729155000142656	0.1286846227735829	0.130001197031732	0.8965654796343485	0.9998207068924773
ENSTGUG00000000728	MCTP1	1108	1609	1277	1134	1204	1103	1228.7000397838594	-0.1586587134812198	0.15988545471513915	-0.9923273743937183	0.32103785389580153	0.9998207068924773
ENSTGUG00000000729	PTPRS	2084	2113	2354	2074	2154	2552	2211.0129967669886	0.0904858538663759	0.14040681344510325	0.6444548640209287	0.5192805173742145	0.9998207068924773
ENSTGUG00000000730	TAF12	2431	2528	2539	2128	2353	2359	2376.33145162356	-0.09013334686448016	0.11606392450077703	-0.7765836563959779	0.4374044471089016	0.9998207068924773
ENSTGUG00000000731	GMEB1	166	199	176	151	139	205	171.37997676279576	-0.08290501754608785	0.2419326931218869	-0.3426780253478181	0.7318406960860149	0.9998207068924773
ENSTGUG00000000732		336	305	341	296	305	359	322.4254716249688	0.005653847553942798	0.19083326914016982	0.029627158720369477	0.9763644052906872	0.9998207068924773
ENSTGUG00000000733		39	41	29	23	34	48	35.23424517813472	-0.02887376183437963	0.46032610710717753	-0.06272458022385631	0.9499858237419895	0.9998207068924773
ENSTGUG00000000734		3	0	0	6	0	1	1.8060339839100001	1.295236847203248	2.576743187462509	0.5026643142030597	0.6152003033937847	0.9998207068924773
ENSTGUG00000000735	TRNAU1AP	460	505	416	411	418	529	453.7304735200827	0.017775679692758187	0.1796336205397285	0.09895519357316993	0.9211738457741807	0.9998207068924773
