id	Fem4_E2_MSt	Fem5_E2_MSt	Fem6_E2_MSt	Fem4_E2_AreaX	Fem5_E2_AreaX	Fem6_E2_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown4315	0	0	0	4	0	0	0.7442698815303511	3.1097504573518506	3.9695799175437636	0.783395352139945	0.43339498468302307	NA
unown4316	0	1	0	0	1	0	0.2857807161771224	0.16695472920030166	4.080472856796901	0.04091553480675721	0.9673632328332307	NA
MAN2C1	593	679	388	262	439	355	436.3469066484438	-0.47397989682432373	0.2576819644680739	-1.839398802328863	0.06585655015953958	0.9998748158320103
CXXC4	11	9	7	5	2	5	6.374360744824993	-0.9300555363975267	1.1022005231207506	-0.8438169978037974	0.39877167556826365	NA
HAPLN4	231	576	230	162	764	348	366.8060371105601	0.4106702362010215	0.46970593847155856	0.8743134854487011	0.3819475573210267	0.9998748158320103
unown4317	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
TMEM79	0	2	0	1	2	0	0.7576289027368326	0.725116659716463	3.560613940242448	0.20364933460522502	0.8386275374828377	NA
XPO6	441	469	366	167	393	326	350.2245785608854	-0.3720938106350689	0.312151721205204	-1.1920287006537433	0.23324999176696257	0.9998748158320103
TET2	1467	1384	1524	1326	1351	1696	1467.6795836708548	0.18070363972288858	0.27038376267001174	0.6683228235987946	0.5039275474378372	0.9998748158320103
unown4318	29	55	52	44	59	60	50.164351632490884	0.41519647041816193	0.4903630175423149	0.8467124468299312	0.3971554193066873	0.9998748158320103
unown4319	4	5	0	3	0	0	1.85292653327597	-1.2375611119110814	2.6389721304057105	-0.46895573380717026	0.6391012772092515	NA
unown4320	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
TRIM71	3	2	2	1	0	10	3.27277516666538	0.9919237459818346	1.8340630210775637	0.5408340578171907	0.5886219657110833	NA
TPM3	2712	2770	1898	1920	2839	1369	2172.786957401117	-0.1278835723811681	0.21939908904069513	-0.5828810545218247	0.5599733752512897	0.9998748158320103
unown4321	9	5	11	8	4	10	8.086177077686889	0.0086274724152439735	1.029199180510634	0.008382704318675691	0.9933116479778953	NA
RAB17	0	0	1	3	1	0	0.8833719752585587	2.0672176471728108	3.395252484429839	0.6088553521874401	0.5426203204981259	NA
RCC1L	566	496	433	418	395	330	432.2468765964707	-0.2107991219247258	0.23424593216688358	-0.8999051551279295	0.36817072649070237	0.9998748158320103
TCAIM	2382	2380	1770	2056	2649	1527	2075.593791127023	0.08375807405655998	0.19007465900061443	0.4406588153147192	0.6594600164952311	0.9998748158320103
SBK1	244	300	325	109	246	273	247.53850325026727	-0.3181196195680636	0.3923901486968249	-0.8107227478176434	0.41752490685944543	0.9998748158320103
TBC1D22A	259	308	358	243	426	313	315.60202012343143	0.2056981083203001	0.3017659412362497	0.6816478608474275	0.49546164363599654	0.9998748158320103
unown4322	47	33	55	22	26	61	41.573900423864636	-0.1094940410489034	0.6280450634915498	-0.17434105833136068	0.8615974334195988	NA
SH2D1A	0	8	2	12	4	2	4.709616761501266	1.0828183669143971	1.57786784618763	0.686254155904534	0.4925528525964031	NA
unown4323	6	18	14	9	9	27	14.351459229635553	0.4767409692470166	0.904855818877712	0.5268695402084234	0.598284187513353	NA
unown4324	1027	1537	598	910	1286	646	960.1661999565573	0.016978628409580896	0.29879716675731133	0.05682325770970666	0.9546859868949655	0.9998748158320103
unown4325	0	6	15	0	6	11	6.643549270483485	-0.22244534209623357	1.701266587829613	-0.13075278365398202	0.8959708754113646	NA
PPA2	2067	1999	1851	1899	2094	1751	1926.2416335077967	0.12223304637882687	0.18866500359314223	0.6478840487153809	0.5170599484986647	0.9998748158320103
unown4326	1	2	7	5	0	3	3.2340478048834185	-0.15551416495574646	1.7927239085973716	-0.08674741504252088	0.9308722866876468	NA
LRRFIP1	520	838	678	367	1166	643	682.4763630918671	0.19457527205195557	0.35165299574716635	0.553316122442058	0.5800469630330448	0.9998748158320103
EDEM3	921	1002	680	762	859	585	782.4818185621616	-0.068661465863974	0.20124457879512936	-0.34118417636418724	0.7329649348204155	0.9998748158320103
unown4327	17	29	52	4	25	42	28.794801705860262	-0.3344693624858127	0.8591243577843024	-0.3893142587045435	0.6970436897823216	NA
TENM1	468	387	528	466	400	606	484.60618242312984	0.2745512346209906	0.33919468679882797	0.8094207996360021	0.4182731421639426	0.9998748158320103
unown4328	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ANKS3	68	123	25	60	84	37	62.57810304210246	-0.06494853853038568	0.5470133550933232	-0.11873300336388522	0.9054868885844696	0.9998748158320103
unown4329	1	3	1	2	3	3	2.1573194300323544	0.8799674226099509	1.7213001679749078	0.5112225275880985	0.6091952459857624	NA
DMGDH	0	0	5	0	0	0	0.9091536300637588	-3.2253153638895364	3.9527218995889135	-0.8159732573710718	0.4145154310870405	NA
unown4330	29	0	11	36	3	15	16.353729898219733	0.6988935829433199	1.2799096954176887	0.546049135689406	0.5850321621416521	NA
unown4331	34	96	27	53	52	7	42.25131413654985	-0.32932290335954784	0.7353745234698132	-0.4478301774797157	0.6542757624740325	NA
