id	Mal7_Exe_MSt	Mal8_Exe_MSt	Mal9_Exe_MSt	Mal7_Exe_AreaX	Mal8_Exe_AreaX	Mal9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown6643	113	285	97	122	222	73	152.25822196442635	-0.08346166152622031	0.5112983684835847	-0.16323475033521423	0.8703336063217757	0.9998924110731865
CCP110	966	972	1215	1021	951	962	1012.3702683860386	0.02810095336849913	0.20327177024376067	0.13824326582486518	0.890048162160781	0.9998924110731865
unown6644	1133	699	799	535	504	627	703.7178659166157	-0.5357792492789502	0.22206568744263944	-2.41270614766788	0.015834580090946945	0.20475179726337475
unown6645	31	0	0	34	0	0	11.438308002958548	0.4550684019948449	3.7414561783972764	0.121628686879284	0.9031930933108243	0.9998924110731865
APOLD1	8	10	23	22	15	21	16.647077764523328	0.6197534901770545	0.728231418554827	0.8510392086720914	0.39474757284484857	0.9990488758095646
QKI	817	661	698	587	625	713	676.5718979733105	-0.05626764744365475	0.1703534481230387	-0.33029943369866593	0.7411737207921995	0.9998924110731865
ITGA4	46	9	14	109	20	82	47.89735660956462	1.7688949702601426	0.7376693054935776	2.3979511646842453	0.016487063178755642	0.20960583776091204
DDX47	1694	1300	1604	1218	1140	1780	1435.0228446708436	-0.04744949337788321	0.18908125975152537	-0.250947626646011	0.8018546015222989	0.9998924110731865
unown6646	15900	12867	14558	11297	11401	14493	13258.899171103561	-0.10473905380454	0.14570661171540752	-0.7188352853137173	0.47224241393438804	0.9998924110731865
unown6647	0	2	0	0	0	2	0.6151749542002881	-0.044762246248218326	4.012743830879851	-0.011155022133173044	0.9910997646476604	NA
LSP1	90	190	80	272	176	171	166.68388448781482	0.9435976005502624	0.4111470674500656	2.295036679703094	0.021731022321179023	0.2546382099183938
PDE10A	13216	12102	13814	8779	8454	12185	11242.257110191176	-0.3038106062859515	0.15229781842721063	-1.9948454247304603	0.046059741340332645	0.39617778780162305
unown6648	207	260	192	162	193	256	208.4835781551432	-0.0036509434305707265	0.2422113095243322	-0.01507338132864501	0.9879736371724561	0.9998924110731865
TCEANC2	585	587	409	498	607	464	523.9645123973063	0.13016557957512845	0.241392378023362	0.5392282086161436	0.589729398432246	0.9998924110731865
TMC5	21	3	40	15	2	27	17.568195894557764	-0.480464703822243	1.030144335921602	-0.4664052279551709	0.6409254700904381	0.9998924110731865
TNNI2	0	3	3	0	1	0	1.1379957181406535	-2.3698090131151672	2.9535799783219012	-0.8023513940738426	0.4223497209927539	NA
CDH7	132	142	173	140	135	237	157.73115923484735	0.28887642319515705	0.286263016625022	1.009129389471775	0.312912584845508	0.9660820806809699
unown6649	0	19	14	46	17	38	22.930945135309607	1.7436985161279284	0.9556051948433228	1.8247059826980305	0.06804540996691931	0.5043583571636219
ZCCHC4	656	545	680	577	527	727	613.1270812698497	0.07520113203031052	0.19060127543725897	0.39454684580568194	0.6931773482314013	0.9998924110731865
ENTPD7	277	264	229	168	193	277	230.33733699298318	-0.16849191607594277	0.22733423152541912	-0.7411638579256509	0.4585940944675447	0.9998924110731865
CDCP2	31	44	47	116	48	129	69.81491578463934	1.377592589179214	0.4625996277250612	2.9779370899061	0.0029019554188265215	0.058451220388671475
unown6650	70	70	53	111	68	62	73.47617044747045	0.4857453073553631	0.4210385000456694	1.1536838253572417	0.24862981753737481	0.9124915351991633
GPATCH1	2050	1624	1784	1702	1392	1765	1707.2916010987692	-0.039117273369380284	0.18433261439945509	-0.2122102672759353	0.8319429970265806	0.9998924110731865
unown6651	997	827	690	548	756	864	767.666627612697	-0.10395339198061067	0.20007168193845332	-0.5195807371309505	0.6033558268835806	0.9998924110731865
RPL4	7117	7273	5615	4966	6434	6447	6238.61495777323	-0.04421096604895894	0.16277809738749646	-0.2716026711119117	0.785927545390226	0.9998924110731865
unown6652	350	176	332	316	118	321	266.7038309227621	-0.061949642658911216	0.40250740771200905	-0.1539093230881249	0.8776812329359284	0.9998924110731865
SYT8	2	0	0	4	5	0	1.9742534331556958	2.4027084934182885	2.507856745395486	0.9580724647967818	0.338026219097383	NA
MRPL37	1105	923	830	1172	1034	1120	1031.3891283537353	0.3551532670392512	0.1950083520527059	1.821220800549415	0.06857329981866318	0.5063520250342325
LPP	116	140	48	86	129	134	107.57657560870808	0.31582423649919633	0.410770316415966	0.7688584687783947	0.4419773345691752	0.9998924110731865
unown6653	4	2	1	3	0	10	3.1832976651137117	0.9304384463720704	1.6969891754593827	0.548287791005029	0.5834943092498235	NA
SLC25A28	652	583	454	414	638	610	552.1038139351494	0.09280397450045534	0.21964004593164813	0.42252756826200943	0.672639982714412	0.9998924110731865
TMC7	61	33	70	67	48	130	67.10250239372598	0.6568788464411524	0.4677289631129321	1.4044006213969487	0.16019958595920647	0.7784716496861368
UTP18	668	885	879	509	647	626	693.8290133438483	-0.3302184497892178	0.20281829903523116	-1.628149192454554	0.10349325493906052	0.6372636114560503
BCL6	803	803	783	766	970	1092	863.3178439238219	0.3548954461652055	0.1556876195065723	2.279535439555126	0.022635255767402235	0.26229927023740324
unown6654	0	4	5	6	6	5	4.423124019838905	1.0448860059463791	1.3905060563101395	0.7514429737322389	0.45238610834191345	NA
NKX2-3	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown6655	144	181	158	147	162	143	155.35179770360375	0.03636469899839698	0.2689250464472521	0.13522243271427556	0.8924360112450231	0.9998924110731865
SEPSECS	171	195	195	143	115	188	165.42999640130756	-0.221227015999083	0.26345520452911175	-0.8397139710885365	0.40106877865629176	0.9998924110731865
GOT1	8297	5649	6275	6703	5477	6489	6448.490836110334	0.019857899745503685	0.2035513881462331	0.09755718163532048	0.9222839263577671	0.9998924110731865
unown6656	68	63	141	26	51	137	78.07341747863589	-0.32124005490546254	0.5565014970226901	-0.5772492196770581	0.5637711119466857	0.9998924110731865
SSBP3	1143	2459	1685	1052	2507	2368	1842.9674582676587	0.2573019455877199	0.32355021350568486	0.7952457913714189	0.4264705397700928	0.9998924110731865
unown6657	37	28	35	39	52	20	35.653147099002105	0.31329636380724324	0.5547215445685721	0.5647813157336545	0.572222517133756	0.9998924110731865
LRP3	636	660	593	332	508	566	538.8107565548531	-0.3220687941780503	0.19876870921586245	-1.6203193925673893	0.10516368525224212	0.6420815179705108
unown6658	14	6	35	2	2	15	11.809798386784214	-1.5340212453132815	1.0689690023445186	-1.4350474540878042	0.15127357550606332	0.7595389567404576
FAM234B	821	572	709	507	433	649	605.8136812114327	-0.28966972362177396	0.21410089010840377	-1.3529589880504844	0.17606873277854415	0.8088231665022461
COQ7	591	636	522	441	692	581	572.4970534024452	0.09191760951693505	0.2136668391970008	0.4301912728356833	0.6670565098499919	0.9998924110731865
unown6659	1	6	0	0	2	12	3.2545494781929016	0.979365609574654	1.9879171218524636	0.4926591751782996	0.622253428293597	NA
unown6660	841	684	892	681	567	915	753.8106781013204	-0.052198045750417844	0.20912341710532278	-0.2496040207880156	0.802893588856377	0.9998924110731865
