id	Mal1_Veh_MSt	Mal2_Veh_MSt	Mal3_Veh_MSt	Mal1_Veh_AreaX	Mal2_Veh_AreaX	Mal3_Veh_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown2828	471	509	412	538	582	303	458.90320177587665	-0.08279335048726186	0.23449109490484782	-0.3530767363291893	0.7240309128766333	0.9683052832687
ANAPC2	1162	1055	1234	1434	1187	724	1119.6259247139526	-0.16219718411021322	0.25154954871535945	-0.6447921888094788	0.5190618645641515	0.9221474363242733
NUPL2	499	615	572	550	849	568	599.4570830736309	0.11084159210527791	0.22615552990584442	0.49011223449377833	0.6240544811141622	0.9420776834489037
unown2829	626	584	520	616	771	381	569.3174691223911	-0.08872716674516248	0.22267626445893823	-0.3984581246714954	0.6902925198954459	0.9613815850858132
IPO11	1246	906	944	1220	1218	1065	1087.87678128376	0.09878108951242148	0.20308522335411136	0.4864021511805463	0.6266820656589305	0.9425401901159642
AR	7	32	7	40	15	5	17.046488844397867	0.29583443358707595	0.9511381827465997	0.3110320234782243	0.7557762769718395	0.9725249035230997
ARHGAP24	148	139	296	170	249	391	237.53726895456737	0.3975352302290047	0.45625428368378695	0.8713019130895914	0.3835893261883017	0.8744498160665715
unown2830	45	7	13	32	6	12	18.977464423697917	-0.3978914370910565	0.9179021479350051	-0.4334791437041396	0.6646667146778982	0.9549854703272023
PEF1	979	808	869	1179	1244	652	934.1928907445854	0.09058011068502314	0.22928233131663675	0.3950592710954812	0.6927991460836733	0.9622335350432607
unown2831	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown2832	51	76	35	48	99	24	52.86031309834154	-0.07139068943371946	0.528018739330989	-0.13520484050276887	0.892449920070425	0.9881305291884287
unown2833	5	17	9	22	47	10	17.097188369750853	1.173361759671141	0.8140130103380461	1.4414533241721326	0.14945665478963907	0.6845304770306768
unown2834	867	1381	1091	568	1155	480	909.4130715412487	-0.7484349309715683	0.2923456040802328	-2.5601032494614286	0.010464106943518948	0.16437373221311016
unown2835	1689	1391	1147	1475	1858	1380	1463.4884456126706	0.0726938319219769	0.1799593312547815	0.40394588830216843	0.6862525110202604	0.9608949378932838
ARMC10	325	224	249	313	268	271	273.3830111915664	0.023085076810402033	0.26833788402860537	0.08602988316007261	0.9314426619554854	0.991807823792061
unown2836	18	14	18	16	15	9	14.874867774931069	-0.436226383330901	0.7139986637926301	-0.6109624645706567	0.5412244299960731	0.929153606647438
unown2837	2	0	0	0	3	3	1.2937894926235898	1.590460543792786	2.912409028075194	0.5460979307717359	0.5849986220988921	NA
BMP1	70	36	29	116	27	26	49.675101224493794	0.2693883483256822	0.6612983105836775	0.4073628255422484	0.6837415259905235	0.960192359160899
TPRG1L	3196	2728	2902	3471	4017	3499	3269.080725766811	0.22991587721865944	0.18267854543368173	1.2585817161661517	0.208181454508585	0.756587851084492
unown2838	54	127	92	56	171	86	95.29969446588774	0.05656536326740809	0.47247903147251286	0.11972036746502444	0.9047046654998904	0.9890833315261166
unown2839	24	0	57	59	33	58	39.57253940681945	0.7664741878910254	0.9821756823288843	0.7803840002163374	0.43516488263315606	0.8980190721491204
unown2840	114	13	18	134	44	16	54.14779799290727	0.3634715667588742	0.8395138351695518	0.4329548263912362	0.6650475881478113	0.9549854703272023
ATRN	1166	1201	1071	892	1249	792	1047.4850226140225	-0.3367602314246571	0.17995475371623457	-1.8713605752015006	0.06129511958550004	0.4727238252255165
TOR4A	103	84	90	135	142	80	103.27498883245146	0.2527782761146136	0.326446061848863	0.7743339732235586	0.4387333181900143	0.8995374047557959
unown2841	203	205	218	215	320	84	201.0810840217932	-0.18538053223158563	0.3746288598438985	-0.4948378304566033	0.6207145980473499	0.9420776834489037
unown2842	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown2843	1161	1171	1199	961	957	388	961.1061966092848	-0.7532582973115238	0.282169531515668	-2.669523861295059	0.007595887579179708	0.13182696847186853
unown2844	0	1	0	0	3	0	0.5719409650498589	1.1858268517436408	4.0088295972889085	0.29580375592556785	0.7673799544829178	NA
