id	Fem1_Veh_MSt	Fem2_Veh_MSt	Fem3_Veh_MSt	Fem1_Veh_AreaX	Fem2_Veh_AreaX	Fem3_Veh_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
XKR4	187	266	292	136	365	335	254.16603440626614	0.0862182772568018	0.32925987446797095	0.26185479599090583	0.7934333914093057	0.9998933113894561
EZR	294	317	170	181	415	137	244.44077098595815	-0.1716113572528898	0.3944912221374529	-0.4350194570187296	0.6635483045071502	0.9998933113894561
unown7254	362	407	313	298	677	338	385.9138180483826	0.20460177698108611	0.27540815822598935	0.7429038351623475	0.45753990361658853	0.9998933113894561
AUP1	505	1165	847	371	1175	1087	824.4228523069173	-0.027810040310425988	0.37455331262683095	-0.07424854986700719	0.9408126152228655	0.9998933113894561
SHTN1	848	806	979	630	994	774	825.7045449698755	-0.16734444994991277	0.1965974946852534	-0.851203369696171	0.39465639128127383	0.9998933113894561
unown7255	38	42	103	68	82	109	73.11038998456968	0.49482316874220245	0.49551009045521516	0.998613707921908	0.3179818570805511	0.9998933113894561
STK24	296	231	367	261	269	273	283.12597311673494	-0.14168907031200625	0.3018562329417899	-0.46939256125723144	0.6387890644997305	0.9998933113894561
TGS1	523	675	590	389	891	612	594.3896185815885	0.01034837461117333	0.23587992994326337	0.0438713654598017	0.9650069403692951	0.9998933113894561
VAX1	4	19	6	10	19	13	11.496191895259784	0.48892323985820446	0.8936433836389573	0.5471122472448532	0.5843016186947408	0.9998933113894561
unown7256	160	132	98	133	125	100	125.52800802383052	-0.09731932644058805	0.3758042024293814	-0.25896284770491795	0.7956639061129621	0.9998933113894561
unown7257	208	336	265	145	412	353	275.6869155271656	0.08408045591881087	0.32983935871092324	0.25491335008476174	0.7987900249434904	0.9998933113894561
unown7258	0	0	1	0	0	0	0.16554332821744025	-0.9693468484007678	4.080472856796901	-0.23755747983621875	0.8122243326219145	0.9998933113894561
SYTL3	1	5	0	2	2	1	1.8374019305555356	-0.23822148541361032	2.0397956995423128	-0.1167869338419834	0.9070288981759961	0.9998933113894561
LYN	55	51	94	46	105	62	66.69484239749424	0.020030989101159562	0.426833453142532	0.046929285775711295	0.9625695871280938	0.9998933113894561
GOLIM4	157	257	243	121	342	205	212.35460563092224	-0.067121930062	0.3320745150442193	-0.20212912169144323	0.839815781896851	0.9998933113894561
unown7259	28	55	12	23	29	19	27.470516368064533	-0.4247602614771258	0.6793826032664827	-0.6252150988778216	0.5318298934754022	0.9998933113894561
unown7260	755	577	354	462	611	395	521.9996746915222	-0.21188338593050088	0.32818961087750215	-0.6456127156614566	0.5185302003226246	0.9998933113894561
DYNLT1	1289	1407	1437	909	1815	1247	1317.341279090359	-0.11591040728139776	0.19263849800684463	-0.6016990813398023	0.5473744616261416	0.9998933113894561
unown7261	707	765	888	639	1144	898	821.8077508512539	0.13832558337662143	0.20048860018730646	0.6899423869855481	0.4902304187799487	0.9998933113894561
TMEM181	246	178	222	182	173	209	202.33767781920758	-0.17818341250870776	0.31517042658731564	-0.56535574875501	0.5718318167753345	0.9998933113894561
unown7262	329	253	175	287	237	98	233.57795825420308	-0.22462768660560567	0.46733631866243897	-0.4806553174564123	0.6307614930001124	0.9998933113894561
unown7263	819	732	703	781	995	860	809.112886946157	0.21707879710093334	0.21126454762040728	1.0275211792324612	0.3041751178298853	0.9998933113894561
GULP1	2296	1290	2106	1746	1374	1988	1817.7221930310873	-0.11775212352368233	0.3311482982898482	-0.35558728259148714	0.7221496689990083	0.9998933113894561
unown7264	423	343	323	247	411	246	326.79152620963737	-0.30829547395813534	0.2596079598682066	-1.1875424548409286	0.23501372085133465	0.9998933113894561
unown7265	15360	11440	9749	13017	16970	9611	12609.775663629645	0.10740896684266829	0.2824564057147406	0.3802674135531666	0.7037469220840588	0.9998933113894561
TULP4	371	476	399	245	593	414	403.00633931952103	-0.0689170330513941	0.25470470047637295	-0.2705762120702873	0.7867169935730765	0.9998933113894561
NUAK1	682	868	660	515	926	800	726.0783822737855	-0.025109627785413535	0.21711301041337763	-0.11565234039915638	0.9079280795437497	0.9998933113894561
unown7266	387	374	366	296	422	269	348.5315751928127	-0.21202876410992214	0.24452035732383412	-0.867121111839039	0.38587565423486225	0.9998933113894561
GTF2H5	2904	2520	3371	2328	3321	3039	2879.357228418282	-0.03934176009494206	0.20187509110890237	-0.19488169579930484	0.8454855640886503	0.9998933113894561
PDZD8	353	307	342	331	474	412	365.1819048810792	0.25756732983406727	0.21900039572844063	1.1761044037265094	0.23955315839427924	0.9998933113894561
SERAC1	578	454	617	574	553	582	562.0506532275233	0.07337724906381665	0.2757668964826758	0.26608432701575674	0.7901742652592931	0.9998933113894561
TFPI	141	400	83	126	870	74	255.66786615248202	0.566104915020085	1.060383051641183	0.5338683168727654	0.5934326437701549	0.9998933113894561
unown7267	201	185	234	180	212	167	195.8198601517537	-0.14966049742794504	0.2849987541630757	-0.5251268478960074	0.599495013462231	0.9998933113894561
EMX2	60	108	72	72	109	111	87.21671321301694	0.256772470274349	0.3737658242302063	0.6869875564551352	0.4920905699273198	0.9998933113894561
