id	Fem7_Exe_MSt	Fem8_Exe_MSt	Fem9_Exe_MSt	Fem7_Exe_AreaX	Fem8_Exe_AreaX	Fem9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
GTF3C5	224	302	291	326	296	268	283.99972436354807	0.1898278666275604	0.22513955224168145	0.8431564544633416	0.399140948658769	0.9999773224878018
GUCY1A1	6536	7247	5350	4986	6428	6020	6063.404333844215	-0.09727758387561466	0.1668590623296296	-0.5829925118687475	0.5598983411285963	0.9999773224878018
MARF1	347	563	663	393	516	580	502.5624729478667	-0.023397075534738774	0.23497442984347858	-0.09957285799277844	0.920683442893946	0.9999773224878018
CDK1	24	56	44	20	89	37	44.005148059465995	0.2640547731745608	0.6152628200455518	0.42917394741162995	0.6677966409766278	0.9999773224878018
RORA	726	715	662	630	868	817	731.9936015323201	0.17581250909905952	0.1622656081121925	1.0834859656613156	0.27859277687662487	0.9999773224878018
TTBK1	425	610	673	543	650	558	571.402319271322	0.09672524840718061	0.19084822171945523	0.5068176561234385	0.6122827666690132	0.9999773224878018
unown5175	825	739	929	787	801	1038	847.7867528253582	0.12326934686269886	0.16629867546024393	0.7412527280902376	0.45854021819006097	0.9999773224878018
AGL	75	144	107	106	164	96	114.3977667866818	0.22062375813174298	0.35800598402078204	0.6162571799887454	0.5377247951117762	0.9999773224878018
IPPK	354	337	417	314	310	448	360.3806962416559	4.4823945289403934e-4	0.20774834365678324	0.002157607829762371	0.9982784793600563	0.9999773224878018
unown5176	1460	1524	1522	1119	1590	1541	1446.202536985615	-0.04543995567885872	0.1387544923053434	-0.3274845731038637	0.7433014091578996	0.9999773224878018
unown5177	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
PUM3	832	957	782	620	991	726	811.5486665955341	-0.1004996193548254	0.1978939081648362	-0.5078459477949873	0.6115613838377767	0.9999773224878018
NPSR1	24	6	13	12	5	34	15.623280866798321	0.2529649140360956	0.9351295678242223	0.27051322377140985	0.7867654449327821	0.9999773224878018
TMED2	4319	4015	3827	3878	3960	3818	3962.458116026116	-0.012436806734648654	0.1459619427122514	-0.08520581806153751	0.9320977652606197	0.9999773224878018
OSER1	375	300	307	296	406	326	333.8232707794393	0.10344553862549886	0.2194492316334557	0.471387107876883	0.6373643207308568	0.9999773224878018
unown5178	3	7	6	5	3	7	5.113425658484553	-0.027946148028679955	1.117966579577695	-0.024997301832794	0.9800571157628997	0.9999773224878018
unown5179	7325	6972	7210	7649	7594	6380	7183.122010312757	0.06463073329020737	0.15744792506313993	0.4104895841865753	0.6814468425979685	0.9999773224878018
unown5180	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown5181	266	493	312	277	429	293	341.85974914446126	-0.054175602734638416	0.2852891639903724	-0.18989716250304786	0.849389716008284	0.9999773224878018
PSKH1	167	184	147	141	199	137	161.76606290176156	-0.019731149757073695	0.27073316339042824	-0.0728804314550084	0.9419012659632148	0.9999773224878018
unown5182	17	2	3	1	1	3	4.571649576280702	-2.1631206856960605	1.492790829713456	-1.449044730607888	0.14732509126092863	0.9999773224878018
unown5183	412	460	441	421	457	592	460.83416397041975	0.20731369241860337	0.17691569553654593	1.1718219335478803	0.2412685547469382	0.9999773224878018
unown5184	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown5185	23	12	0	17	7	13	12.335776063685428	0.1015264398440686	1.219614072849346	0.08324472642962832	0.9336569495814607	0.9999773224878018
CCND1	715	585	678	671	714	777	687.8259983157852	0.17392512288308892	0.16547138581961315	1.0510888152752376	0.2932178005250935	0.9999773224878018
unown5186	509	490	859	459	659	825	623.4143407477778	0.1121598356178033	0.25238762042321156	0.44439515468203283	0.6567569159434228	0.9999773224878018
CTRL	5	13	9	3	25	3	9.429818523580016	0.22144622805820358	1.1162213923199455	0.19838916328054915	0.8427405953944095	0.9999773224878018
ACSS1	35	29	22	55	20	82	40.771103247924664	0.9099294987066415	0.611517077301973	1.487987061164785	0.1367543059084164	0.9999773224878018
CRCP	745	759	810	650	814	954	782.0068629242716	0.1045833754605267	0.15237023436623098	0.6863766791166988	0.49247560662842466	0.9999773224878018
CENPP	251	216	201	214	209	199	215.00102170939792	-0.05487367191890261	0.2404008179878408	-0.22825908987413704	0.8194448265995385	0.9999773224878018
RILPL1	278	281	426	274	303	378	319.63501038185416	0.01045828116989581	0.22366835938959567	0.04675798221275949	0.9627061177174971	0.9999773224878018
unown5187	738	1269	747	631	1216	749	882.5426621419426	-0.050057942350816134	0.28467360982452855	-0.17584328375809619	0.8604170638919391	0.9999773224878018
unown5188	7	7	18	1	5	18	8.978733578962498	-0.3942492817801875	1.129023181007819	-0.34919502842117206	0.7269428983222783	0.9999773224878018
ICE2	153	152	234	141	134	262	176.92940654530025	0.04382307259543448	0.3263371044369725	0.1342877411106597	0.8931750466167137	0.9999773224878018
OCSTAMP	8	12	6	6	17	10	9.720218338435057	0.36425104743850184	0.8725101521221618	0.41747485293157066	0.6763311142150343	0.9999773224878018
unown5189	70	148	32	57	171	14	81.58482780875933	-0.023602641055025787	0.7819656551444732	-0.030183731088119267	0.9759205233313296	0.9999773224878018
NDE1	87	140	165	105	179	178	140.04412972655402	0.2848925676926739	0.3155743552468828	0.9027747754401473	0.36664544124015364	0.9999773224878018
ASPN	33	19	5	22	9	16	17.714716372773374	-0.2418786472565313	0.86994331500492	-0.27803954934139974	0.7809819992313999	0.9999773224878018
SLC13A3	517	600	637	576	744	733	629.5842057574143	0.2746636981949113	0.14341030305747327	1.9152298847373386	0.05546319286851918	0.9999773224878018
unown5190	170	242	159	134	236	155	181.08570523706197	-0.08491604355422361	0.304284703635513	-0.2790677366941855	0.7801928422844334	0.9999773224878018
