id	Mal4_E2_MSt	Mal5_E2_MSt	Mal6_E2_MSt	Mal4_E2_AreaX	Mal5_E2_AreaX	Mal6_E2_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ATG4A	276	164	453	283	328	471	316.38027995709484	0.1252113420402029	0.31088581481680583	0.4027566909541549	0.6871272244533337	0.999646313058517
unown4544	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
COL25A1	99	28	78	56	41	185	75.81973810991545	0.2689126683615907	0.5762746236825779	0.4666397882369926	0.6407576152366421	0.999646313058517
unown4545	207	193	199	204	205	341	220.44989242000304	0.10483400695397266	0.2750066787728084	0.3812053126192594	0.7030509073256641	0.999646313058517
unown4546	6	0	8	0	2	14	4.497754867771578	0.016951515980583618	1.8068734365087091	0.00938168420547363	0.992514608823982	NA
SCNN1D	24	12	62	25	22	41	29.57026049051182	-0.28593871356024286	0.6534823017662038	-0.43756152658980974	0.661704165927868	0.999646313058517
CHRNB2	3117	2296	2525	3262	2140	2650	2646.1195006626085	-0.1606861897911905	0.22307964455651516	-0.7203086149372188	0.4713350016760368	0.999646313058517
unown4547	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
SYN2	7358	4881	7520	9497	5012	8945	7033.3528367348445	0.07440551051014851	0.24071425928413884	0.3091030449605411	0.757243142993223	0.999646313058517
unown4548	1	0	0	0	2	0	0.49176374837725806	0.7841443352791697	4.031309076713438	0.19451357371944566	0.8457737684104638	NA
NPTN	23080	14844	17691	19699	12036	19953	17666.77839515782	-0.2909220288745976	0.2257732364184257	-1.2885585266423325	0.1975516095693403	0.999646313058517
SEC24B	345	226	495	362	423	533	384.57419940985915	0.14737703544738334	0.2557528852986518	0.5762477919859472	0.564447705786639	0.999646313058517
EMC8	2866	1800	2433	3121	2890	2805	2606.154872904387	0.15084616802089076	0.19011214611226174	0.7934588668091501	0.4275105253082583	0.999646313058517
ENAH	925	805	915	834	819	1026	879.364387265966	-0.17861587279095315	0.17821064998506814	-1.002273841691947	0.316211352693349	0.999646313058517
unown4549	27	30	52	47	35	33	36.96611906497877	-0.0828276131788501	0.5146815712787512	-0.16092982107958692	0.872148674593735	0.999646313058517
unown4550	5	0	2	9	0	8	3.6997421447958483	1.1670823263257248	1.851296151165715	0.6304136297106447	0.5284239956592451	NA
COL4A6	83	29	263	126	72	268	130.4251264348809	0.18398595811065332	0.6123624496131246	0.30045271101598586	0.7638318621513005	0.999646313058517
REC114	4	3	7	8	5	6	5.348049182172462	0.29411390857589365	1.133879356056404	0.2593873034242482	0.7953364249721095	NA
unown4551	29	40	45	19	36	29	33.39360402117727	-0.6419753435952595	0.5444182484380583	-1.17919512330289	0.2383204875233517	0.999646313058517
unown4552	350	284	535	496	404	590	430.6862088441295	0.17953794432709105	0.24163395323774597	0.743016210765885	0.45747186600167167	0.999646313058517
HCN4	186	157	214	324	183	432	240.15807269124423	0.5487342939481629	0.30884426215975963	1.7767346238225155	0.0756119127535858	0.7679438747599774
ADAR	1057	748	1231	1147	1087	1354	1078.594698372978	0.07138822871577083	0.17318188176594176	0.412215342550979	0.680181592630865	0.999646313058517
unown4553	20	21	13	35	41	13	24.042404835113047	0.5421168591456942	0.7078391152334638	0.7658758148267774	0.4437501976894123	0.999646313058517
unown4554	2	6	3	13	16	16	9.044697508375776	1.7789806936013983	0.9907966056476555	1.7955054382110336	0.07257320709081967	NA
HMOX2	2075	1514	1859	2311	1938	2102	1940.2342124416484	0.046054481580232814	0.1824190780899123	0.25246526877815423	0.800681456270699	0.999646313058517
GATAD2A	40	34	37	22	19	29	30.33505598273797	-0.8674148867827298	0.512577158498393	-1.6922620768429135	0.09059601512386344	0.8264060891433176
unown4555	20	44	18	12	36	34	28.102572372962776	-0.29162905702456665	0.7107838215624761	-0.41029219880595325	0.6815916140590699	0.999646313058517
unown4556	890	729	957	926	728	1117	876.5376527524149	-0.08712518636084629	0.19091152442747913	-0.4563642065198752	0.6481281002390451	0.999646313058517
unown4557	1	61	3	1	68	5	25.763998366775468	-0.18419967252296854	1.4231610209608097	-0.12942995895054166	0.8970174432345015	0.999646313058517
UCHL5	2252	1777	1816	2464	2600	2071	2148.249990572526	0.11017153339518139	0.22272042051702884	0.49466291927532463	0.6208380803675086	0.999646313058517
unown4558	0	10	8	0	0	11	4.9231846031708795	-1.1389087741860402	2.053381724868505	-0.5546502924384281	0.5791338820735543	NA
unown4559	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
COX4I1	13995	10257	9632	16533	12473	13175	12557.020687613744	0.13163206483804937	0.23158991274763074	0.5683842757931002	0.5697740651188494	0.999646313058517
WIPI1	1807	1184	1372	1878	1729	2151	1651.2697318581047	0.21685987710510574	0.18697963625026764	1.1598047865214804	0.24612829485953333	0.999646313058517
unown4560	90	41	140	87	27	138	83.11402763825468	-0.2703667686941386	0.5527034375246194	-0.48917149838080304	0.6247202860299205	0.999646313058517
unown4561	30	20	48	36	26	27	30.580184862596376	-0.27650757495975303	0.5457409215373166	-0.5066645436461852	0.6123902126449933	0.999646313058517
unown4562	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4563	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4564	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4565	52	26	50	66	24	80	47.65074532503703	0.2325484088077443	0.5288737782836855	0.43970493217193757	0.660150829898009	0.999646313058517
unown4566	922	401	433	834	624	577	622.3630296224582	0.06420181195479971	0.32712979360066524	0.19625791722649485	0.8444082979870663	0.999646313058517
unown4567	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4568	375	168	375	412	133	440	305.77078102613115	-0.05908235166730187	0.40267585619996793	-0.14672434604065684	0.8833496012135941	0.999646313058517
unown4569	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4570	2714	1892	2069	1996	1971	1528	2033.1537367985854	-0.44707501408078	0.23309029944331547	-1.9180335481507365	0.05510675741847358	0.6611284387241249
CDIP1	1420	856	1386	1245	823	1548	1184.5934891021836	-0.19613624071705882	0.2317055449516971	-0.8464891971314139	0.39727989781041906	0.999646313058517
F2RL2	11	23	14	61	31	35	28.793582998604368	1.1708843349846463	0.6480703891987994	1.8067240140877205	0.07080532149948088	0.7506797605460066
SV2C	904	560	1142	711	946	1043	862.180510085657	-0.10481939476138585	0.2285414978380203	-0.4586449102371641	0.6464891805332714	0.999646313058517
unown4571	0	6	4	10	2	3	4.2871045206203355	0.32611149078713075	1.5795687157749863	0.20645603292233486	0.8364347055077177	NA
PLXNB2	703	568	897	762	1191	1056	843.1105124113083	0.3046647636422399	0.23176211586223383	1.3145580868934659	0.18865846411643014	0.999646313058517
AIFM2	33	79	56	53	105	92	69.73771502692179	0.31961970345756546	0.5099223308837146	0.626800757879445	0.5307898466721528	0.999646313058517
unown4572	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown4573	41	0	66	39	69	57	42.61172605694734	0.5786654188528346	0.9138585555327847	0.6332111412093411	0.5265957711583982	0.999646313058517
PRNP	7997	7027	8602	7231	4253	10823	7533.935671139708	-0.30239501274844793	0.26570509142337473	-1.1380851271179122	0.2550849378913251	0.999646313058517
UMPS	774	494	557	833	769	684	676.1557108580614	0.1583633512896137	0.23795306382825906	0.6655234807311048	0.5057157302583801	0.999646313058517
UBALD1	6617	4865	4503	5095	4810	4307	5044.596880277124	-0.3520275608132075	0.22902993019998752	-1.5370373667136834	0.12428415917224594	0.9169926633304892
TAMM41	583	459	571	637	932	613	624.8082417923762	0.27143121368512035	0.25744867956318135	1.0543119278982649	0.29174012951898903	0.999646313058517
unown4574	219	180	224	222	234	265	220.72239459405534	0.024801591212010265	0.22926647295443003	0.10817801177994278	0.9138544866426656	0.999646313058517
unown4575	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
SRP9	417	339	751	402	557	736	517.3461092547976	0.001277410706376998	0.2890675914735715	0.004419072715364522	0.9964741015830929	0.9997775195742333
unown4576	3	0	2	1	0	8	2.0717633929302526	0.6510063695554387	2.2513047438313825	0.28916847945139745	0.7724524516857804	NA
KCNN3	146	112	82	118	77	100	106.3883592850701	-0.40696920069749765	0.3800983901770519	-1.0706943549745875	0.2843068818403746	0.999646313058517
RO60	147	96	143	161	170	163	143.6937085232091	0.1929499893324432	0.2747085112053667	0.7023808198945739	0.4824417033726245	0.999646313058517
IRF8	84	17	48	67	52	35	49.15984996706107	-0.04211258285104328	0.5815436584091545	-0.07241516993968197	0.9422715126235061	0.999646313058517
unown4577	256	119	0	219	112	2	121.58338813432444	-0.3073332709006569	2.2525534740437765	-0.13643772476083918	0.8914752524571997	0.999646313058517
unown4578	49	66	29	58	49	58	52.21947223133463	-0.055747288124899784	0.5090389882244057	-0.10951477080243614	0.9127942068276355	0.999646313058517
MGRN1	2317	1705	1792	1913	1107	1982	1792.1024682769662	-0.4162875317905321	0.2450305042155848	-1.6989212552257187	0.08933402154775233	0.8226200864422013
STAMBP	583	508	392	564	324	542	485.5589761544886	-0.2695580546351548	0.29661237481489233	-0.9087889701276914	0.3634615298666542	0.999646313058517
NEO1	1209	915	1047	977	664	1082	975.4774898682824	-0.4155810611232603	0.21634087123128373	-1.9209549206214238	0.05473739092696109	0.657912044693807
